ID_SELLER,id,url,Tipo,Marca,Modelo,Ano,Variante,Kilometraje,Color,description,price,Combustible,Dueno,Tipo_de_vendedor,Currency,create_date,direccion,Comuna,Ciudad,vendor,cnpj_cpf,carroceria,number_of_photos,photos,phone
3954666,53114326,"https://www.webmotors.com.br/comprar/MERCEDES-BENZ/A-35-AMG/20-CGI-GASOLINA-4MATIC-7G-DCT/4-portas/2022-2023/53114326","car","MERCEDES-BENZ","A 35 AMG",2023,"2.0 CGI GASOLINA 4MATIC 7G-DCT",10178,"Preto","CONSULTE A DISPONIBILIDADE EM NOSSO ESTOQUE!!!! EA MOTORS - VEÍCULOS 0KM PREMIUM, SEMINOVOS E BLINDADOS. A EA MOTORS se reserva no direito de corrigir possíveis erros de digitação e alteração nos anúncio sem aviso prévio. Outros Opcionais: Banco bi-partido, Comando de áudio no volante, Controle de estabilidade, Direção Elétrica, Distribuição eletrônica de frenagem, Farol de neblina, Kit Multimídia, Pára-choques na cor do veículo.","369990","Gasolina","EA MOTORS",false,"R$","2024-07-05T16:06:17","","Valinhos","São Paulo (SP)","Loja","37893441000170","Hatchback",16,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]","(19███042███23"
3954484,53206755,"https://www.webmotors.com.br/comprar/PORSCHE/911/30-24V-H6-GASOLINA-TARGA-4-GTS-PDK/2-portas/2023/53206755","car","PORSCHE","911",2023,"3.0 24V H6 GASOLINA TARGA 4 GTS PDK",1123,"Cinza","** Garantia de fábrica ** Sistema de Som Surround BOSE ** Pacote Sport Chrono ** Sistema de escape esportivo ** Sistema de elevação do eixo dianteiro ** Câmara de marcha-atrás, incluindo sistema ParkAssist (à frente e atrás) e visão periférica. ** Faróis em LED ** Bancos esportivo com 18 vias ** Rodas Turbo S 20/21"" [BIICAEF]","1290000","Gasolina","Porsche Center Salvador",false,"R$","2024-07-11T15:22:15","","Salvador","Bahia (BA)","Concessionária","30986255000306","Conversível",20,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]","(71███042███81"
3916318,53115265,"https://www.webmotors.com.br/comprar/CHEVROLET/MONTANA/12-TURBO-FLEX-PREMIER-AUTOMATICO/4-portas/2023/53115265","car","CHEVROLET","MONTANA",2023,"1.2 TURBO FLEX PREMIER AUTOMÁTICO",27839,"Verde","","132880","Gasolina e álcool","villa norte",false,"R$","2024-07-05T16:31:22","","São José dos Campos","São Paulo (SP)","Loja","22180506000162","Picape",20,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]",""
3519552,53642830,"https://www.webmotors.com.br/comprar/BMW/X1/20-16V-TURBO-ACTIVEFLEX-SDRIVE20I-X-LINE-4P-AUTOMATICO/4-portas/2019/53642830","car","BMW","X1",2019,"2.0 16V TURBO ACTIVEFLEX SDRIVE20I X-LINE 4P AUTOMÁTICO",89000,"Preto","Seja bem-vindo ao Pio Automóveis, onde a qualidade é nossa prioridade!. Cada detalhe é meticulosamente cuidado para garantir que sua experiência de compra seja impecável. Além disso, oferecemos taxas competitivas e propostas exclusivas que você só encontra aqui. Venha nos visitar e descubra por que somos a escolha certa para quem busca qualidade, confiabilidade e atendimento excepcional. Outros Opcionais: Banco bi-partido, Comando de áudio no volante, Controle de estabilidade, Direção Elétrica, Distribuição eletrônica de frenagem, Farol de neblina, Kit Multimídia, MP3 Player, Pára-choques na cor do veículo.","152490","Gasolina e álcool","Pio Automoveis",false,"R$","2024-08-06T11:57:34","","Leme","São Paulo (SP)","Loja","08229561000179","Utilitário esportivo",20,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]",""
3910501,53973930,"https://www.webmotors.com.br/comprar/FIAT/TORO/13-TURBO-270-FLEX-VOLCANO-AT6/4-portas/2023-2024/53973930","car","FIAT","TORO",2024,"1.3 TURBO 270 FLEX VOLCANO AT6",0,"Cinza","","159990","Gasolina e álcool","DADA VEICULOS",false,"R$","2024-08-22T10:29:11","","Petrópolis","Rio de Janeiro (RJ)","Loja","40043270000102","Picape",13,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]","080███08-███"
3881274,53933401,"https://www.webmotors.com.br/comprar/KIA/STONIC/10-TGDI-MHEV-SX-AUTOMATICO/4-portas/2023-2024/53933401","car","KIA","STONIC",2024,"1.0 TGDI MHEV SX AUTOMÁTICO",2079,"Prata","GRUPO AKTA MOTORS - FILIAL OUTLETMOTORS, A NUMERO UM EM VENDAS DE SEMINOVOS COM GARANTIA E PROCEDENCIA DA BAIXADA.
TODO ESTOQUE COM IPVA PAGO. 
GARANTIA OPCIONAL DE ATÉ 2 ANOS, EM TODO TERRITÓRIO NACIONAL.(Consulte)
ACEITAMOS SEU VEÍCULO NA TROCA, QUALQUER ANO E MODELO, COM SUPER VALORIZAÇÃO NA TROCA,E COBRIMOS QUALQUER OFERTA NA TROCA,TRAZ SEU VEÍCULO,E SUA CONDIÇÃO NA LOJA, AVALIAÇÃO IMEDIATA. 
DUAS UNIDADES OUTLET, PRAIA GRANDE NA ENTRADA DA CIDADE, E VILA DOS CARROS EM SANTOS. 
TODOS CARROS COM PERICIAS APROVADAS E 100% DE GARANTIA JURIDICA EM TODO PROCESSO DE COMPRA E TROCA. 
FINANCIAMENTO COM TAXA ESPECIAL EM TODOS BANCOS E PARCELAMENTO NO CARTÃO DE CRÉDITO.(Consulte condições)
SEDE PRÓPRIA COM MAIS DE 10 ANOS NO MERCADO, NOS DESTACAMOS NA BAIXADA, POR TODA TRANSPARÊNCIA E EXCELÊNCIA NA NEGOCIAÇÃO.
RESERVE ESTE VEÍCULO, ENTRE EM CONTATO, SE SURPREEENDA COM QUEM VALORIZA A SUA CONQUISTA.
RESERVAMOS O DIREITO DE CORRIGIR POSSÍVEIS ERROS DE DIGITAÇÃO/PUBLICAÇÃO.","126900","Gasolina","OUTLET MOTORS",false,"R$","2024-08-20T17:25:56","","Praia Grande","São Paulo (SP)","Concessionária","12911519000615","Utilitário esportivo",15,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]","(13███042███83"
3855155,54141190,"https://www.webmotors.com.br/comprar/AUDI/Q3/20-40-TFSI-GASOLINA-PERFORMANCE-QUATTRO-TIPTRONIC/4-portas/2023/54141190","car","AUDI","Q3",2023,"2.0 40 TFSI GASOLINA PERFORMANCE QUATTRO TIPTRONIC",2228,"Prata","","349900","Gasolina","Audi Center Lapa Sorana",false,"R$","2024-08-30T08:53:23","","São Paulo","São Paulo (SP)","Concessionária","61088795000479","Utilitário esportivo",1,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]","(11███420███10"
3851900,54147480,"https://www.webmotors.com.br/comprar/MERCEDES-BENZ/C-63-AMG/40-V8-TURBO-GASOLINA-S-COUPE-SPEEDSHIFT/2-portas/2020/54147480","car","MERCEDES-BENZ","C 63 AMG",2020,"4.0 V8 TURBO GASOLINA S COUPÉ SPEEDSHIFT",3111,"Preto","Air Bag Duplo e Lateral, Alarme com Acionamento dos Vidros, Ar Condicionado Digital, Bluetooth, Câmera de Ré, Central Multimídia, Chave Presencial, Chave Reserva, Comandos no Volante, Controle de Estabilidade, Controle de Som no Volante, Distribuição Eletrônica de Frenagem, Farol de LED, Painel Digital, Para-choques na cor do veículo, Rádio Bluetooth, Sistema Start/Stop, Som original, Trio Elétrico, Turbo, Único Dono [BIJEGJD]","580000","Gasolina","AB Intercar – Botafogo",false,"R$","2024-08-30T12:34:41","","Rio de Janeiro","Rio de Janeiro (RJ)","Concessionária","21225706000121","Cupê",10,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]","(21███400███47"
3837675,52978024,"https://www.webmotors.com.br/comprar/BMW/320i/20-16V-TURBO-FLEX-GP-AUTOMATICO/4-portas/2020-2021/52978024","car","BMW","320i",2021,"2.0 16V TURBO FLEX GP AUTOMÁTICO",45000,"Preto","","219990","Gasolina e álcool","TALISMA VEICULOS",false,"R$","2024-06-28T12:12:09","","Fortaleza","Ceará (CE)","Loja","03523970000160","Sedã",19,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]","(85███042███92"
3888178,53762879,"https://www.webmotors.com.br/comprar/MERCEDES-BENZ/GLA-200/16-CGI-VISION-16V-TURBO-GASOLINA-4P-AUTOMATICO/4-portas/2014-2015/53762879","car","MERCEDES-BENZ","GLA 200",2015,"1.6 CGI VISION 16V TURBO GASOLINA 4P AUTOMÁTICO",89000,"Prata","","108790","Gasolina e álcool","Aragon Multimarcas",false,"R$","2024-08-12T11:12:55","","São Paulo","São Paulo (SP)","Loja","38228988000113","Utilitário esportivo",14,"[""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN"",""https://image.webmotors.com.br/_fotos/AnuncioUsados/gigante/NaN""]","(11███420███55"
